Uppgift Id;Rad;Beskrivning;Antal;Pris;Fortnox Artikel Id;Fortnox Kostnadsställe;Fortnox Projekt
701;1;Stenfalksgränd 18: Miljörum Large  (2024-02-12 13:23);1;648;K100;;BHO891
702;1;Stenfalksgränd 18: Kärltvätt Standard  (2024-02-12 13:25);12;150;K100;;BHO891
703;1;Tornfalksgränd 9: Miljörum Large  (2024-02-12 14:16);1;648;K100;;BHO891
704;1;Tornfalksgränd 9: Kärltvätt Standard  (2024-02-12 14:18);13;150;K100;;BHO891
705;1;Stenfalksgränd 12: Miljörum Large  (2024-02-12 17:25);1;648;K100;;BHO891
706;1;Stenfalksgränd 12: Kärltvätt Standard  (2024-02-12 15:03);11;150;K100;;BHO891
707;1;Eiravägen 3-5: Kärltvätt Standard ;10;150;K100;;ADO
708;1;Eiravägen 7-9: Kärltvätt Standard ;11;150;K100;;ADO
709;1;Kraftgatan 14E (Ljunggården): Miljörum Medium  (2024-02-14 08:13);2;648;K100;;BHO891
710;1;Kraftgatan 14E (Ljunggården): Kärltvätt Standard  (2024-02-14 08:14);12;150;K100;;BHO891
711;1;Kraftgatan 14D (Ljunggården): Miljörum Medium  (2024-02-14 08:15);1;648;K100;;BHO891
712;1;Kraftgatan 14D (Ljunggården): Kärltvätt Standard  (2024-02-14 08:14);7;150;K100;;BHO891
713;1;Kraftgatan 14C (Ljunggården): Miljörum Large  (2024-02-14 08:12);1;648;K100;;BHO891
714;1;Kraftgatan 14C (Ljunggården): Kärltvätt Standard  (2024-02-14 08:13);16;150;K100;;BHO891
715;1;Kraftgatan 14A (Ljunggården): Miljörum Small  (2024-02-19 10:31);3;648;K100;;BHO891
716;1;Kraftgatan 14A (Ljunggården): Kärltvätt Standard  (2024-02-14 08:12);9;150;K100;;BHO891
717;1;Tärbygatan 7: Kärltvätt Standard  (2024-02-12 12:07);6;150;K100;;BHO891
718;1;Rombergsgatan 15-17: Miljörum Medium ;1;648;K100;;ADO
719;1;Rombergsgatan 15-17: Kärltvätt Standard ;13;150;K100;;ADO
720;1;Rombergsgatan 19-27: Miljörum Medium ;1;648;K100;;ADO
721;1;Rombergsgatan 19-27: Kärltvätt Standard ;13;150;K100;;ADO
722;1;Rombergsgatan 39: Miljörum Medium ;1;648;K100;;ADO
723;1;Rombergsgatan 39: Kärltvätt Standard ;13;150;K100;;ADO
724;1;Rombergsgatan 18-28: Miljörum Medium ;1;648;K100;;ADO
725;1;Rombergsgatan 18-28: Kärltvätt Standard ;13;150;K100;;ADO
726;1;Rombergsgatan 30: Miljörum Medium ;1;648;K100;;ADO
