Uppgift Id;Rad;Beskrivning;Antal;Pris;Fortnox Artikel Id;Fortnox Kostnadsställe;Fortnox Projekt
6477;1;Södra Järnvägsgatan 35: Kärltvätt Standard  (2024-05-14 19:07);4;210;K100;N;ADO
6478;1;Norra Förmansvägen 26: Miljörum Medium  (2024-05-15 17:28);3;990;K100;N;ADO
6479;1;Norra Förmansvägen 26: Kärltvätt Standard  (2024-05-15 17:26);17;210;K100;N;ADO
6480;1;Montörvägen 7: Miljörum Medium  (2024-05-16 07:32);1;990;K100;N;ADO
6481;1;Montörvägen 7: Kärltvätt Standard  (2024-05-15 18:58);9;210;K100;N;ADO
6482;1;Kyrkogatan 19: Miljörum Small  (2024-05-15 09:24);1;790;K100;N;ADO
6483;1;Kyrkogatan 19: Kärltvätt Standard  (2024-05-15 09:24);18;210;K100;N;ADO
6484;1;Björingeplan 26 - Återvinning: Tvätt UJ-behållare inkl kassun  (2024-05-14 08:25);3;1395;UJ100;M;ZML
6485;1;Björingeplan 28 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-14 08:26);4;1395;UJ100;M;ZML
6486;1;Brommabågen 9 - Återvinning: Tvätt UJ-behållare inkl kassun  (2024-05-16 07:32);3;1395;UJ100;M;ZML
6487;1;Brunskogsbacken 10 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-13 06:55);2;1395;UJ100;M;ZML
6488;1;Brommabågen 9 - Hushåll/Mat: Tvätt UJ-behållare  (2024-05-16 07:31);2;1395;UJ100;M;ZML
6489;1;Faringeplan 1 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-14 09:09);2;1395;UJ100;M;ZML
6490;1;Faringeplan 20 - Hushåll/Mat : Tvätt UJ-behållare inkl kassun  (2024-05-14 08:54);4;1395;UJ100;M;ZML
6491;1;Faringeplan 6 - Återvinning: Tvätt UJ-behållare inkl kassun  (2024-05-14 08:53);3;1395;UJ100;M;ZML
6492;1;Hanstavägen 84 - Hushåll: Tvätt UJ-behållare inkl kassun  (2024-05-14 10:54);2;1395;UJ100;M;ZML
6493;1;Kvarnbacksvägen 114 - Återvinning: Tvätt UJ-behållare  (2024-05-16 06:36);3;1395;UJ100;M;ZML
6494;1;Kvarnbacksvägen 114 - Hushåll/Mat: Tvätt UJ-behållare  (2024-05-16 06:36);2;1395;UJ100;M;ZML
6495;1;Kvarnbacksvägen 126 - Hushåll: Tvätt UJ-behållare  (2024-05-16 07:14);1;1395;UJ100;M;ZML
6496;1;Rusthållarvägen 111 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-15 06:46);2;1395;UJ100;M;ZML
6497;1;Stålbogavägen 17 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-15 08:28);2;1395;UJ100;M;ZML
6498;1;Svennebygränd 31 - Hushåll: Tvätt UJ-behållare inkl kassun  (2024-05-14 07:07);3;1395;UJ100;M;ZML
6499;1;Tisslingeplan 54 - Återvinning: Tvätt UJ-behållare inkl kassun  (2024-05-15 13:07);3;1395;UJ100;M;ZML
6500;1;Tisslingeplan 54 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-15 13:07);4;1395;UJ100;M;ZML
6501;1;Tisslingeplan 72 - Återvinning: Tvätt UJ-behållare inkl kassun  (2024-05-15 13:06);3;1395;UJ100;M;ZML
6502;1;Tistelvägen 2 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-15 07:22);2;1395;UJ100;M;ZML
6503;1;Tältgatan 16 - Återvinning: Tvätt UJ-behållare inkl kassun  (2024-05-16 08:09);3;1395;UJ100;M;ZML
6504;1;Tältgatan 16 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-16 08:09);2;1395;UJ100;M;ZML
6505;1;Tältgatan 8 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-16 07:52);2;1395;UJ100;M;ZML
6506;1;Uppingegränd 3 - Återvinning: Tvätt UJ-behållare inkl kassun  (2024-05-14 07:57);3;1395;UJ100;M;ZML
6507;1;Uppingegränd 8 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-14 07:56);4;1395;UJ100;M;ZML
6508;1;Beckbrännarbacken 3-5 - Återvinning: Tvätt UJ-behållare inkl kassun  (2024-05-16 09:41);3;1395;UJ100;M;ZML
6509;1;Beckbrännarbacken 5 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-16 09:40);1;1395;UJ100;M;ZML
6510;1;Flossagränd 6 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-16 06:59);3;1395;UJ100;M;ZML
6511;1;Grycksbovägen 30 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-15 07:49);2;1395;UJ100;M;ZML
6512;1;Kocksgatan 38 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-16 09:30);1;1395;UJ100;M;ZML
6513;1;Olof Dalins Väg 12 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-14 11:55);2;1395;UJ100;M;ZML
6514;1;Olof Dalins Väg 6 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-14 11:39);2;1395;UJ100;M;ZML
6515;1;Onkel Adams Väg 14 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-14 12:31);3;1395;UJ100;M;ZML
6516;1;Onkel Adams Väg 2 - Hushåll/Mat: Tvätt UJ-behållare inkl kassun  (2024-05-14 12:17);2;1395;UJ100;M;ZML
6517;1;Centralesplanaden 15 C: Miljörum Large  (2024-05-10 10:15);1;1290;K100;N;ADO
6518;1;Centralesplanaden 15 C: Kärltvätt Standard  (2024-05-10 10:14);18;210;K100;N;ADO
6519;1;Verkstadsgatan 3: Miljörum Medium  (2024-05-08 14:44);1;990;K100;N;ADO
6520;1;Verkstadsgatan 3: Kärltvätt Standard  (2024-05-08 14:43);8;210;K100;N;ADO
